SOAcondition,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
neutral,1,1050,mult,1,637,small,2_7_mult_FNI.jpg,127,FALSE,1680,-0.659072776,-0.720022415,0,240
negative,1,1050,add,2,637,small,8_2_add_true.jpg,143,TRUE,1680,0.034841176,0.006109391,0,260
negative,1,1050,mult,2,638,large,8_4_mult_true.jpg,129,TRUE,1680,0.111572508,0.101017952,0,60
negative,1,1050,add,2,638,small,3_6_add_true.jpg,143,TRUE,1680,0.133549446,0.195130675,0,240
negative,1,1050,mult,1,641,large,8_4_mult_true.jpg,104,TRUE,1680,-0.146082423,-0.102083916,0,280
neutral,1,1050,add,2,642,small,3_6_add_true.jpg,129,TRUE,1680,0.427743299,0.35195317,0,300
negative,1,1050,add,2,644,small,5_3_add_true.jpg,129,TRUE,1680,0.350550345,0.434912384,0,100
negative,1,1050,mult,2,644,small,2_7_mult_true.jpg,143,TRUE,1680,0.083640744,0.078529333,0,300
neutral,1,1050,mult,1,645,large,4_9_mult_true.jpg,104,TRUE,1680,0.540515961,0.701834955,0,400
neutral,1,1050,mult,1,645,small,5_3_mult_true.jpg,104,TRUE,1680,-0.092195537,-0.088068835,0,420
negative,1,1050,add,1,645,small,8_2_add_FI.jpg,143,FALSE,1680,0.236760294,-0.022913355,0,40
negative,1,1050,add,1,646,small,2_7_add_true.jpg,104,TRUE,1680,1.666831612,1.969735081,0,260
neutral,1,1050,add,1,646,small,2_7_add_true.jpg,108,TRUE,1680,0.314316552,0.208633346,1,40
neutral,1,1050,mult,2,646,large,6_8_mult_true.jpg,129,TRUE,1680,0.25777878,0.198862613,0,120
negative,1,1050,mult,2,649,small,8_2_mult_true.jpg,143,TRUE,1680,1.067702957,1.454884186,0,140
neutral,1,1050,mult,2,653,large,4_9_mult_true.jpg,129,TRUE,1680,-0.057829958,-0.051531362,0,360
negative,1,1050,add,2,656,large,8_4_add_true.jpg,129,TRUE,1680,0.370752135,0.420542102,0,340
negative,1,1050,add,1,657,small,5_3_add_true.jpg,104,TRUE,1680,0.962554319,1.042861523,0,260
neutral,1,1050,mult,2,657,large,6_8_mult_true.jpg,143,TRUE,1680,-0.112988484,-0.133407422,0,260
